Dataset,Field,Total_Rows,Missing_Count,Unique_Values,Missing_Percentage
CNEFE,std_logradouro_completo,1180102,0,583880,0.0
CNEFE,std_complemento,1180102,490086,34929,41.53
CNEFE,std_bairro,1180102,0,465,0.0
CNEFE,std_cep,1180102,0,13211,0.0
CNEFE,std_municipio,1180102,0,1,0.0
CNEFE,std_uf,1180102,0,1,0.0
BHMap,std_tipo_logradouro,757113,0,18,0.0
BHMap,std_nome_logradouro,757113,0,12445,0.0
BHMap,std_numero,757113,757113,1,100.0
BHMap,std_complemento_letra,757113,626129,36,82.7
BHMap,std_bairro,757113,0,492,0.0
BHMap,std_cep,757113,757113,1,100.0
BHMap,std_municipio,757113,0,1,0.0
BHMap,std_uf,757113,0,1,0.0
